n-gram,count
"('антуан', 'экзюпери', 'маленький', 'принц', 'антуан', 'де', 'сент', 'экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора')",1
"('экзюпери', 'маленький', 'принц', 'антуан', 'де', 'сент', 'экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь')",1
"('маленький', 'принц', 'антуан', 'де', 'сент', 'экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан')",1
"('принц', 'антуан', 'де', 'сент', 'экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери')",1
"('антуан', 'де', 'сент', 'экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький')",1
"('де', 'сент', 'экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц')",1
"('сент', 'экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация')",1
"('экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном')",1
"('маленький', 'принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем')",1
"('принц', 'справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери')",1
"('справочная', 'служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался')",1
"('служба', 'русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны')",1
"('русского', 'языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны', 'люди')",1
"('языка', 'маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны', 'люди', 'пишущие')",1
"('маленький', 'принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны', 'люди', 'пишущие', 'ради')",1
"('принц', 'фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны', 'люди', 'пишущие', 'ради', 'бавы')",1
"('фрунзе', 'перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны', 'люди', 'пишущие', 'ради', 'бавы', 'ищущие')",1
"('перевод', 'нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны', 'люди', 'пишущие', 'ради', 'бавы', 'ищущие', 'эффектов')",1
"('нора', 'галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны', 'люди', 'пишущие', 'ради', 'бавы', 'ищущие', 'эффектов', 'надо')",1
"('галь', 'антуан', 'экзюпери', 'маленький', 'принц', 'аннотация', 'одном', 'писем', 'матери', 'признался', 'ненавистны', 'люди', 'пишущие', 'ради', 'бавы', 'ищущие', 'эффектов', 'надо', 'иметь')",1
