n-gram,count
нигде останавливаться столько народ картинною,1
останавливаться столько народ картинною лавочкою,1
столько народ картинною лавочкою щукином,1
народ картинною лавочкою щукином двор,1
картинною лавочкою щукином двор лавочка,1
лавочкою щукином двор лавочка представлять,1
щукином двор лавочка представлять точно,1
двор лавочка представлять точно самое,1
лавочка представлять точно самое разнородный,1
представлять точно самое разнородный собрание,1
точно самое разнородный собрание диковинка,1
самое разнородный собрание диковинка картина,1
разнородный собрание диковинка картина большею,1
собрание диковинка картина большею часть,1
диковинка картина большею часть писаны,1
картина большею часть писаны масляный,1
большею часть писаны масляный краска,1
часть писаны масляный краска покрыть,1
писаны масляный краска покрыть темно,1
масляный краска покрыть темно зелёный,1
